id,entryId,entryOwnerText,entryTenantText,entryCategoryText,rent,cadaster1808Correspondance,toponym,entryCategories,cadaster1808ClosestParcel,position,entryOwnerText_l,entryTenantText_l,TenantExtracted,OwnerExtracted,OwnerExtractedClean,TenantExtractedClean
0,205.0,Scola di Santa Maria e San Cristofolo all'orto,Simon Bernardi,Casa,34.0,2030.0,Calle Galliazza,['housing'],2030,"[12.33676417, 45.43740331]",scola di santa maria e san cristofolo all'orto,simon bernardi,"('bernardi', 100)","('di', 100)",,bernardi
1,206.0,Scola di Santa Maria e San Cristofolo all'orto,Giacomo Aghen,Casa,40.0,2030.0,Calle Galliazza,['housing'],2030,"[12.33678175, 45.43739419]",scola di santa maria e san cristofolo all'orto,giacomo aghen,"('giacomi', 60)","('di', 100)",,
2,207.0,Alessandro Buffetti,Cristofolo Fianello,"Casa, primo appartamento",20.0,,Calle Galliazza,['housing'],13268,"[12.33680766, 45.43745093]",alessandro buffetti,cristofolo fianello,"('cristofoli', 69)","('buffetti', 100)",buffetti,
3,207.0,Alessandro Buffetti,Per uso del padrone,"Casa, secondo appartamento",,,Calle Galliazza,['housing'],13268,"[12.3368313, 45.43744348]",alessandro buffetti,per uso del padrone,"('del', 100)","('buffetti', 100)",buffetti,
4,207.0,Alessandro Buffetti,Inaffittato,"Casa, terzo appartamento",30.0,,Calle Galliazza,['housing'],13268,"[12.33685662, 45.43743407]",alessandro buffetti,inaffittato,"('pinaffo', 67)","('buffetti', 100)",buffetti,
5,208.0,Alessandro Buffetti,Carlo Pezzi,Magazen,12.0,,Calle Galliazza,['storage'],13268,"[12.336876759999999, 45.43742819]",alessandro buffetti,carlo pezzi,"('carlo', 100)","('buffetti', 100)",buffetti,carlo
6,210.0,Alessandro Buffetti,Piero Baroni,Magazen,,,Calle Galliazza,['storage'],13268,"[12.3369179, 45.43741493]",alessandro buffetti,piero baroni,"('baroni', 100)","('buffetti', 100)",buffetti,baroni
7,211.0,Cristina Buffetti Locatelli,Giovanni Maria Zipponi,Magazen,10.0,2017.0,Calle Galliazza,['storage'],2017,"[12.33701424, 45.43738436]",cristina buffetti locatelli,giovanni maria zipponi,"('giovannino', 56)","('locatelli', 100)",locatelli,
8,212.0,Zuane Vidman,Agostin Fumi,"Casa, primo appartamento",36.0,,Calle Galliazza,['housing'],13268,"[12.33710971, 45.43735099]",zuane vidman,agostin fumi,"('fumi', 100)","('vidman', 100)",vidman,fumi
9,212.0,Zuane Vidman,Giuseppe Viviani,"Casa, secondo appartamento",40.0,,Calle Galliazza,['housing'],13268,"[12.33713171, 45.43734388]",zuane vidman,giuseppe viviani,"('viviani', 100)","('vidman', 100)",vidman,viviani
10,212.0,Zuane Vidman,Zuanne Lischiutta,"Casa, porzione del terzo appartamento",18.0,2019.0,Calle Galliazza,['housing'],2019,"[12.33718975, 45.43731917]",zuane vidman,zuanne lischiutta,"('zuanne', 100)","('vidman', 100)",vidman,zuanne
11,212.0,Zuane Vidman,Piero Soccordi,"Casa, altra porzione del terzo appartamento",20.0,2019.0,Calle Galliazza,['housing'],2019,"[12.3372144, 45.43731339]",zuane vidman,piero soccordi,"('piero', 100)","('vidman', 100)",vidman,piero
12,213.0,Conte Cesare e nipoti Piovene,Margarita Nasini,"Casa, primo soler",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.3372598, 45.43729734]",conte cesare e nipoti piovene,margarita nasini,"('maraspini', 64)","('piovene', 100)",piovene,
