Names,Names
MOROSINI,280
CONTARINI,245
CORNER,218
CAPITOLO,195
DONA,195
GRIMANI,181
FOSCARINI,176
DOLFIN,167
PISANI,166
ZEN,155
VENIER,150
MOCENIGO,141
PRIULI,140
GRADENIGO,138
GIUSTINIAN,132
MORO,113
MOLIN,110
QUERINI,109
BALBI,108
RENIER,99
ALBRIZZI,91
BARBARO,89
BRAGADIN,85
SAGREDO,84
TIEPOLO,84
SORANZO,77
TRON,76
MANIN,70
TREVISAN,69
CORRER,68
BEMBO,64
ERIZZO,64
BARBARIGO,63
CIVRAN,62
GRITTI,60
PREBENDA,58
DIEDO,58
SOLARI,56
CASSETTI,56
CAPPELLO,55
VENDRAMIN,54
CAPELLO,51
MEMO,50
PESARO,49
DUODO,49
DARIVA,48
DA,48
MARUZZI,48
FOSCARI,47
CANAL,46
NEGRI,46
DE,45
RASPI,45
BOLDU,45
GRASSI,44
RIVA,44
MARCELLO,44
BOSSI,44
BERTI,43
BERNARDO,43
ZORZI,43
BADOER,42
ZUSTINIAN,41
BONVICINI,41
ROSSI,40
BONFADINI,40
MICHIELI,39
LOREDAN,39
GRITI,39
BOLLANI,38
VALIER,38
LAMBERTI,37
BENEFICIO,37
ERIZO,36
TODERINI,36
BERNARDI,35
SANDI,33
ZAMBELLI,33
GIOVANELLI,33
MORA,32
RIZZI,31
SAN,30
SS,29
BAGLIONI,29
CARMINATI,29
BOLANI,28
ASTORI,28
BATTAGLIA,28
BASEGGIO,27
PERSICO,27
LUCATELLO,27
NANI,26
MARTINENGO,26
REGIO,26
RIZZO,25
ZINELLI,25
DAMULA,25
DAMOSTO,25
DAL,24
VITTURI,24
MAFFETTI,24
GUIZZETTI,24
FINI,24
TASCA,23
ZENOBIO,23
SANUDO,23
RR,23
TOMASINI,23
MARCONI,22
BENZON,22
UFFICIO,22
SARDI,22
MAZZONI,22
MINELLI,22
PASQUALIGO,22
VALARESSO,21
SAVORGNAN,21
ZON,21
ZANCHI,21
TODARINI,21
ANGARAN,21
BARBIERI,21
CALVI,20
TODESCHINI,20
MALIPIERO,20
RUZINI,20
DAPONTE,20
BERLENDIS,20
MANZONI,20
NERINI,20
