,entryTenantText_l
0,"('bernardi', 100)"
1,"('giacomi', 60)"
2,"('cristofoli', 69)"
3,"('del', 100)"
4,"('pinaffo', 67)"
5,"('carlo', 100)"
6,"('baroni', 100)"
7,"('giovannino', 56)"
8,"('fumi', 100)"
9,"('viviani', 100)"
10,"('zuanne', 100)"
11,"('piero', 100)"
12,"('maraspini', 64)"
13,"('zorzi', 100)"
14,"('franceschi', 59)"
15,"('piero', 100)"
16,"('antoniassi', 70)"
17,"('nardini', 100)"
18,"('lazari', 100)"
19,"('vicelli', 100)"
20,"('traversi', 58)"
21,"('giacomazzi', 57)"
22,"('bastian', 100)"
23,"('zuanne', 100)"
24,"('rizzi', 100)"
25,"('domenici', 67)"
26,"('chiurloto', 59)"
27,"('gasparoni', 73)"
28,"('zanardini', 100)"
29,"('andrighetti', 59)"
30,"('andrighetti', 59)"
31,"('gussoni', 52)"
32,"('biasio', 100)"
33,"('giovannino', 53)"
34,"('zambelli', 100)"
35,"('foppa', 100)"
36,"('morasciuti', 65)"
37,"('piero', 100)"
38,"('bortoloto', 67)"
39,"('bortoloto', 67)"
40,"('piero', 100)"
41,"('morasciuti', 65)"
42,"('tonioli', 70)"
43,"('tonioli', 70)"
44,"('girolamo', 100)"
45,"('antonini', 70)"
46,"('costantin', 100)"
47,"('battistiol', 62)"
48,"('lucatello', 100)"
49,"('carlo', 100)"
50,"('carlo', 100)"
51,"('carlo', 100)"
52,"('giustriniani', 53)"
53,"('galvan', 100)"
54,"('zuanne', 100)"
55,"('redolfi', 100)"
56,"('moretti', 100)"
57,"('tonioli', 70)"
58,"('molena', 100)"
59,"('morasciuti', 65)"
60,"('del', 100)"
61,"('zorzi', 100)"
62,"('andrighetti', 59)"
63,"('nani', 86)"
64,"('ferretti', 100)"
65,"('rossetti', 100)"
66,"('rossetti', 100)"
67,"('guarinoni', 67)"
68,"('rizzi', 100)"
69,"('anna', 100)"
70,"('antonelli', 67)"
71,"('del', 100)"
72,"('pasquali', 100)"
73,"('bettoni', 61)"
74,"('domenici', 64)"
75,"('antonelli', 67)"
76,"('pinaffo', 67)"
77,"('frignani', 58)"
78,"('cigogna', 100)"
79,"('speranza', 54)"
80,"('locatello', 100)"
81,"('de luca', 100)"
82,"('agostinazzi', 71)"
83,"('nani', 100)"
84,"('francesconi', 62)"
85,"('carminati', 100)"
86,"('pinaffo', 67)"
87,"('grattarol dalle navi', 50)"
88,"('pellegrini', 100)"
89,"('appostoli', 57)"
90,"('marchi', 100)"
91,"('dal', 100)"
92,"('polacco', 55)"
93,"('piero', 100)"
94,"('salvador', 100)"
95,"('antonelli', 67)"
96,"('ferrari', 100)"
97,"('ferrari', 100)"
98,"('toniollo', 67)"
99,"('antonelli', 67)"
100,"('gussoni', 52)"
101,"('turra', 100)"
102,"('canonici', 100)"
103,"('tradonico', 62)"
104,"('cipriani', 67)"
105,"('maffei', 100)"
106,"('tonioli', 64)"
107,"('bissoni', 100)"
108,"('sebastiani', 64)"
109,"('giusberti', 70)"
110,"('panziero', 67)"
111,"('velano', 100)"
112,"('griputo', 57)"
113,"('bellan', 100)"
114,"('bonamico', 100)"
115,"('merendis', 50)"
116,"('bonetti', 100)"
117,"('girardi', 100)"
118,"('bevilacqua', 100)"
119,"('giustriniani', 53)"
120,"('nani', 86)"
121,"('zuanne', 100)"
122,"('di', 100)"
123,"('piero', 100)"
124,"('giovannino', 58)"
125,"('bortolini', 67)"
126,"('andruzzi', 73)"
127,"('milesi', 100)"
128,"('cortinovis', 71)"
129,"('de pietra', 64)"
130,"('battistini', 57)"
131,"('carmagnola', 62)"
132,"('francesconi', 77)"
133,"('francesconi', 39)"
134,"('muti', 100)"
135,"('bressan', 100)"
136,"('algarotti', 62)"
137,"('casati', 100)"
138,"('casati', 100)"
