,entryOwnerText_l
0,"[('di', 100), ('scola', 100), ('san', 100)]"
1,"[('di', 100), ('scola', 100), ('san', 100)]"
2,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
3,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
4,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
5,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
6,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
7,"[('locatelli', 100), ('buffetti', 100), ('cristina', 100)]"
8,"[('vidman', 100), ('donzuane', 70), ('widmann', 63)]"
9,"[('vidman', 100), ('donzuane', 70), ('widmann', 63)]"
10,"[('vidman', 100), ('donzuane', 70), ('widmann', 63)]"
11,"[('vidman', 100), ('donzuane', 70), ('widmann', 63)]"
12,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
13,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
14,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
15,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
16,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
17,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
18,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
19,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
20,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
21,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
22,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
23,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
24,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
25,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
26,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
27,"[('piovene', 100), ('contenti', 43), ('casaretti', 42)]"
28,"[('piovene', 100), ('soranzo', 100), ('campisano', 50)]"
29,"[('piovene', 100), ('soranzo', 100), ('campisano', 50)]"
30,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
31,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
32,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
33,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
34,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
35,"[('basso', 100), ('borghesaleo', 50), ('borghesallo', 50)]"
36,"[('armati', 100), ('antoniassi', 67), ('antonini', 64)]"
37,"[('arigoni', 100), ('carosi-cattarini', 39), ('argentino', 31)]"
38,"[('darduin', 100), ('antoniassi', 64), ('antonini', 61)]"
39,"[('giovannino', 61), ('valmarana', 50), ('giavarina', 50)]"
40,"[('contarini', 100), ('caliari fantinelli', 53), ('coratelli', 50)]"
41,"[('palmerio', 62), ('ricevitori', 57), ('vittori', 56)]"
42,"[('del', 100), ('del torso', 50), ('bonfandini gritti', 31)]"
43,"[('domenici', 67), ('dominico', 67), ('domeni', 63)]"
44,"[('giovannino', 59), ('palmerio', 50), ('giavarina', 48)]"
45,"[('domenici', 67), ('dominico', 67), ('domeni', 63)]"
46,"[('giovannino', 59), ('palmerio', 50), ('giavarina', 48)]"
47,"[('di', 100), ('monastero', 100), ('della', 100)]"
48,"[('di', 100), ('monastero', 100), ('della', 100)]"
49,"[('di', 100), ('monastero', 100), ('della', 100)]"
50,"[('di', 100), ('monastero', 100), ('della', 100)]"
51,"[('venier', 100), ('venerio', 64), ('venenzio', 61)]"
